id,ppd,jenis_sekolah,kod_sekolah,nama_sekolah,alamat,poskod,bandar,no_telefon,no_faks,emel,lokasi,kerajaan/bantuan/swasta,bil_murid,bil_guru,x,y,primary_secondary,district,parlimen,dun
11,PPD BARAM,SK,YBB4343,SEKOLAH KEBANGSAAN KUALA TUTOH,KUALA TUTOH,98050,MARUDI,TIADA,TIADA,YBB4343@moe.edu.my,Luar Bandar,SK,22,8,114.394283,4.020268,Primary,Marudi,P.220 Baram,N.78 Mulu
12,PPD BARAM,SK,YBB4315,SEKOLAH KEBANGSAAN LIO MATO,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4315@moe.edu.my,Luar Bandar,SK,34,12,115.222679,3.169159,Primary,Telang Usan,P.220 Baram,N.78 Mulu
13,PPD BARAM,SK,YBB4314,SEKOLAH KEBANGSAAN LONG ANAP,"SK Long Anap D/A PPD Baram, Lot 1081 & 1082, Jln Kpg Narum",98050,MARUDI,TIADA,TIADA,YBB4314@moe.edu.my,Luar Bandar,SK,43,10,114.819521,3.063489,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
14,PPD BARAM,SK,YBB4351,SEKOLAH KEBANGSAAN LONG APU,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4351@moe.edu.my,Luar Bandar,SK,28,11,114.81391,3.140773,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
15,PPD BARAM,SK,YBB4319,SEKOLAH KEBANGSAAN LONG ATIP,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4319@moe.edu.my,Luar Bandar,SK,13,7,114.708866,3.827639,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
16,PPD BARAM,SK,YBB4308,SEKOLAH KEBANGSAAN LONG ATON,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",085-755467,TIADA,YBB4308@moe.edu.my,Luar Bandar,SK,107,13,114.344866,3.251575,Primary,Beluru,P.220 Baram,N.77 Telang Usan
17,PPD BARAM,SK,YBB4338,SEKOLAH KEBANGSAAN LONG BANGA,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4338@moe.edu.my,Luar Bandar,SK,106,11,115.388923,3.203549,Primary,Miri,P.220 Baram,N.78 Mulu
18,PPD BARAM,K9,YBB4313,SEKOLAH KEBANGSAAN LONG BEDIAN,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4313@moe.edu.my,Luar Bandar,SK,505,39,114.734688,3.795058,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
19,PPD BARAM,SK,YBB4316,SEKOLAH KEBANGSAAN LONG BEMANG,LONG BEMANG,98050,MARUDI,TIADA,TIADA,YBB4316@moe.edu.my,Luar Bandar,SK,118,14,114.592433,3.856936,Primary,Marudi,P.220 Baram,N.77 Telang Usan
20,PPD BARAM,SK,YBB4303,SEKOLAH KEBANGSAAN LONG IKANG,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4303@moe.edu.my,Luar Bandar,SK,18,8,114.446157,3.915752,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
21,PPD BARAM,SK,YBB4334,SEKOLAH KEBANGSAAN LONG JEEH,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4334@moe.edu.my,Luar Bandar,SK,29,12,114.92548,2.964946,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
22,PPD BARAM,SK,YBB4317,SEKOLAH KEBANGSAAN LONG JEGAN,SEKOLAH KEBANGSAAN LONG JEGAN D/A PPD BARAM,98050,MARUDI,TIADA,TIADA,YBB4317@moe.edu.my,Luar Bandar,SK,115,14,114.115629,3.583234,Primary,Beluru,P.220 Baram,N.76 Marudi
23,PPD BARAM,SK,YBA4311,SEKOLAH KEBANGSAAN LONG JEKITAN,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBA4311@moe.edu.my,Luar Bandar,SK,140,13,114.930514,2.859953,Primary,Telang Usan,P.220 Baram,N.78 Mulu
24,PPD BARAM,SK,YBB4329,SEKOLAH KEBANGSAAN LONG KESSEH,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4329@moe.edu.my,Luar Bandar,SK,22,8,114.511136,3.454136,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
25,PPD BARAM,SK,YBA4309,SEKOLAH KEBANGSAAN LONG KEVOK,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBA4309@moe.edu.my,Luar Bandar,SK,154,13,114.906448,3.801749,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
26,PPD BARAM,SK,YBB4327,SEKOLAH KEBANGSAAN LONG LAMEI,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4327@moe.edu.my,Luar Bandar,SK,65,11,115.386434,3.170848,Primary,Miri,P.220 Baram,N.78 Mulu
27,PPD BARAM,SK,YBA4308,SEKOLAH KEBANGSAAN LONG LAPOK,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBA4308@moe.edu.my,Luar Bandar,SK,380,24,114.148948,3.731856,Primary,Beluru,P.220 Baram,N.76 Marudi
28,PPD BARAM,SK,YBB4310,SEKOLAH KEBANGSAAN LONG LAPUT,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4310@moe.edu.my,Luar Bandar,SK,104,14,114.426899,3.732109,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
29,PPD BARAM,SK,YBB4311,SEKOLAH KEBANGSAAN LONG LELLANG,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4311@moe.edu.my,Luar Bandar,SK,51,10,115.153139,3.418222,Primary,Miri,P.220 Baram,N.78 Mulu
30,PPD BARAM,SK,YBB4367,SEKOLAH KEBANGSAAN LONG LENEI,D/A PEJABAT PENDIDIKAN DAERAH BARAM,98050,MARUDI,TIADA,TIADA,YBB4367@moe.edu.my,Luar Bandar,SK,37,12,114.493291,4.062012,Primary,Marudi,P.220 Baram,N.78 Mulu
31,PPD BARAM,SK,YBB4326,SEKOLAH KEBANGSAAN LONG LOYANG,D/A PEJABAT PENDIDIKAN DAERAH MARUDI,98050,MARUDI,TIADA,TIADA,YBB4326@moe.edu.my,Luar Bandar,SK,92,14,114.118949,3.447298,Primary,Beluru,P.220 Baram,N.77 Telang Usan
32,PPD BARAM,SK,YBA4306,SEKOLAH KEBANGSAAN LONG LUTENG,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,85756893,YBA4306@moe.edu.my,Luar Bandar,SK,160,14,114.751212,3.533309,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
33,PPD BARAM,SK,YBB4357,SEKOLAH KEBANGSAAN LONG MAKABAR,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",145751196,TIADA,YBB4357@moe.edu.my,Luar Bandar,SK,41,11,114.9423972,2.9096167,Primary,Telang Usan,P.220 Baram,N.78 Mulu
34,PPD BARAM,SK,YBB4333,SEKOLAH KEBANGSAAN LONG MIRI,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4333@moe.edu.my,Luar Bandar,SK,59,16,114.434259,3.589112,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
35,PPD BARAM,SK,YBB4307,SEKOLAH KEBANGSAAN LONG MOH,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4307@moe.edu.my,Luar Bandar,SK,52,9,115.075358,3.05446,Primary,Telang Usan,P.220 Baram,N.78 Mulu
36,PPD BARAM,SK,YBB4335,SEKOLAH KEBANGSAAN LONG NAAH,D/A PEJABAT PENDIDIKAN DAERAH MARUDI,98050,MARUDI,TIADA,TIADA,YBB4335@moe.edu.my,Luar Bandar,SK,57,10,114.5942222,3.3291111,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
37,PPD BARAM,SK,YBB4348,SEKOLAH KEBANGSAAN LONG PALAI,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4348@moe.edu.my,Luar Bandar,SK,39,10,114.850172,3.042718,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
38,PPD BARAM,SK,YBB4309,SEKOLAH KEBANGSAAN LONG PANAI,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4309@moe.edu.my,Luar Bandar,SK,19,9,114.540989,3.948216,Primary,Marudi,P.220 Baram,N.78 Mulu
39,PPD BARAM,SK,YBA4304,SEKOLAH KEBANGSAAN LONG PELUTAN,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBA4304@moe.edu.my,Luar Bandar,SK,68,10,114.4907833,3.5558,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
40,PPD BARAM,SK,YBB4330,SEKOLAH KEBANGSAAN LONG PILLAH,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4330@moe.edu.my,Luar Bandar,SK,63,9,114.430557,3.483083,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
41,PPD BARAM,SK,YBA4301,SEKOLAH KEBANGSAAN LONG SAIT,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBA4301@moe.edu.my,Luar Bandar,SK,38,11,115.192766,3.305227,Primary,Miri,P.220 Baram,N.78 Mulu
42,PPD BARAM,SK,YBB4360,SEKOLAH KEBANGSAAN LONG SEPILING,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4360@moe.edu.my,Luar Bandar,SK,10,7,114.275018,3.916393,Primary,Marudi,P.220 Baram,N.76 Marudi
43,PPD BARAM,SK,YBB4328,SEKOLAH KEBANGSAAN LONG SERIDAN,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4328@moe.edu.my,Luar Bandar,SK,78,13,115.067394,3.974385,Primary,Miri,P.220 Baram,N.78 Mulu
44,PPD BARAM,SK,YBB4352,SEKOLAH KEBANGSAAN LONG SOBENG,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",138241730,,YBB4352@moe.edu.my,Luar Bandar,SK,19,9,114.274319,3.327216,Primary,Beluru,P.220 Baram,N.77 Telang Usan
45,PPD BARAM,SK,YBA4303,SEKOLAH KEBANGSAAN LONG TERAN KANAN,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBA4303@moe.edu.my,Luar Bandar,SK,106,15,114.147756,3.613456,Primary,Beluru,P.220 Baram,N.76 Marudi
46,PPD BARAM,SK,YBB4306,SEKOLAH KEBANGSAAN LONG TERU,"LONG TERU, TINJAR",98050,MARUDI,TIADA,TIADA,YBB4306@moe.edu.my,Luar Bandar,SK,37,11,114.244513,3.864061,Primary,Beluru,P.220 Baram,N.76 Marudi
47,PPD BARAM,SK,YBB4356,SEKOLAH KEBANGSAAN LONG TUNGAN,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4356@moe.edu.my,Luar Bandar,SK,15,10,115.182681,3.160849,Primary,Telang Usan,P.220 Baram,N.78 Mulu
48,PPD BARAM,SK,YBB4362,SEKOLAH KEBANGSAAN LONG WAT,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",85755808,TIADA,YBB4362@moe.edu.my,Luar Bandar,SK,27,8,114.68,3.86,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
49,PPD BARAM,SK,YBB4304,SEKOLAH KEBANGSAAN LUBOK NIBONG,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4304@moe.edu.my,Luar Bandar,SK,40,14,114.3129,4.148115,Primary,Marudi,P.220 Baram,N.78 Mulu
50,PPD BARAM,SK,YBB4320,SEKOLAH KEBANGSAAN MOREK,KAMPUNG LONG BANYOK BARAM,98050,MARUDI,TIADA,TIADA,YBB4320@moe.edu.my,Luar Bandar,SK,78,13,114.448614,3.845463,Primary,Marudi,P.220 Baram,N.77 Telang Usan
51,PPD BARAM,SK,YBB4347,SEKOLAH KEBANGSAAN PA ' DALLIH,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4347@moe.edu.my,Luar Bandar,SK,37,11,115.554042,3.567996,Primary,Miri,P.220 Baram,N.78 Mulu
52,PPD BARAM,SK,YBB4301,SEKOLAH KEBANGSAAN PENGARAH ENTERI,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4301@moe.edu.my,Luar Bandar,SK,123,16,114.272348,3.668715,Primary,Beluru,P.220 Baram,N.76 Marudi
53,PPD BARAM,SK,YBB4359,SEKOLAH KEBANGSAAN PENGELAYAN,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4359@moe.edu.my,Luar Bandar,SK,44,10,114.271291,4.451918,Primary,Marudi,P.220 Baram,N.76 Marudi
54,PPD BARAM,SK,YBB4349,SEKOLAH KEBANGSAAN PENGHULU BAYA MALLANG,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4349@moe.edu.my,Luar Bandar,SK,13,6,114.631872,3.985845,Primary,Marudi,P.220 Baram,N.78 Mulu
55,PPD BARAM,SK,YBB4305,SEKOLAH KEBANGSAAN POYUT,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4305@moe.edu.my,Luar Bandar,SK,93,16,114.387957,4.122098,Primary,Marudi,P.220 Baram,N.78 Mulu
56,PPD BARAM,SK,YBB4361,SEKOLAH KEBANGSAAN RUMAH GUDANG,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4361@moe.edu.my,Luar Bandar,SK,32,13,114.419263,4.200176,Primary,Marudi,P.220 Baram,N.78 Mulu
57,PPD BARAM,SK,YBB4340,SEKOLAH KEBANGSAAN SG ARANG,D/A PEJABAT PENDIDIKAN DAERAH BARAM,98050,"MARUDI, BARAM",TIADA,TIADA,YBB4340@moe.edu.my,Luar Bandar,SK,43,13,114.229556,4.268485,Primary,Marudi,P.220 Baram,N.76 Marudi
58,PPD BARAM,SK,YBB4332,SEKOLAH KEBANGSAAN SG BONG,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4332@moe.edu.my,Luar Bandar,SK,104,13,114.304328,3.732279,Primary,Beluru,P.220 Baram,N.76 Marudi
59,PPD BARAM,SK,YBB4337,SEKOLAH KEBANGSAAN SG BRIT,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4337@moe.edu.my,Luar Bandar,SK,47,12,114.360027,4.106908,Primary,Marudi,P.220 Baram,N.78 Mulu
60,PPD BARAM,SK,YBB4325,SEKOLAH KEBANGSAAN SG PEKING,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4325@moe.edu.my,Luar Bandar,SK,36,12,114.360017,3.91359,Primary,Beluru,P.220 Baram,N.76 Marudi
61,PPD BARAM,SK,YBB4344,SEKOLAH KEBANGSAAN SG SETAPANG,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4344@moe.edu.my,Luar Bandar,SK,33,12,114.435041,4.120428,Primary,Marudi,P.220 Baram,N.78 Mulu
62,PPD BARAM,SK,YCB4302,SEKOLAH KEBANGSAAN ST PIUS LONG SAN,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YCB4302@moe.edu.my,Luar Bandar,SBK,301,23,114.783075,3.295903,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
63,PPD BARAM,SK,YBB4324,SEKOLAH KEBANGSAAN SUNGAI BAIN,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4324@moe.edu.my,Luar Bandar,SK,35,11,114.327923,3.827354,Primary,Beluru,P.220 Baram,N.76 Marudi
64,PPD BARAM,SK,YBB4339,SEKOLAH KEBANGSAAN SUNGAI SEBATU,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBB4339@moe.edu.my,Luar Bandar,SK,10,7,114.39722,3.846418,Primary,Beluru,P.220 Baram,N.76 Marudi
65,PPD BARAM,SK,YBB4322,SEKOLAH KEBANGSAAN UBONG IMANG,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",85771328,85771328,YBB4322@moe.edu.my,Luar Bandar,SK,147,18,114.399578,3.766924,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
66,PPD BARAM,SK,YBA4307,SEKOLAH KEBANGSAAN UMA BAWANG,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, JALAN KAMPUNG NARUM",98050,"MARUDI, BARAM",TIADA,TIADA,YBA4307@moe.edu.my,Luar Bandar,SK,31,9,114.407219,3.602979,Primary,Telang Usan,P.220 Baram,N.77 Telang Usan
67,PPD BAU,SJKC,YCC1108,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA BAU,D/A PEJABAT PENDIDIKAN DAERAH BAU,94000,BAU,82763172,82763172,YCC1108@moe.edu.my,Luar Bandar,SBK,291,27,110.15645,1.41345,Primary,Bau,P.192 Mas Gading,N.02 Tasik Biru
68,PPD BAU,SJKC,YCC1106,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA BUSO,D/A PEJABAT PENDIDIKAN DAERAH BAU,94000,BAU,82370108,TIADA,YCC1106@moe.edu.my,Luar Bandar,SBK,72,14,110.1834167,1.450116667,Primary,Bau,P.192 Mas Gading,N.02 Tasik Biru
69,PPD BAU,SJKC,YCC1109,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA KRANJI,D/A PEJABAT PENDIDIKAN DAERAH BAU,94000,BAU,82370352,82370353,YCC1109@moe.edu.my,Luar Bandar,SBK,105,13,110.2668333,1.450033333,Primary,Bau,P.196 Stampin,N.13 Batu Kitang
70,PPD BAU,SJKC,YCC1105,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA MUSI,D/A PEJABAT PENDIDIKAN DAERAH BAU,94000,BAU,82374834,TIADA,YCC1105@moe.edu.my,Luar Bandar,SBK,59,13,110.1944167,1.470733333,Primary,Bau,P.192 Mas Gading,N.02 Tasik Biru
71,PPD BAU,SJKC,YCC1102,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA PAKU,D/A PEJABAT PENDIDIKAN DAERAH BAUÂ ,94000,BAU,82370334,TIADA,YCC1102@moe.edu.my,Luar Bandar,SBK,133,13,110.1900167,1.42215,Primary,Bau,P.198 Puncak Borneo,N.18 Serembu
72,PPD BAU,SJKC,YCC1104,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA SEBUKU,D/A PEJABAT PENDIDIKAN DAERAH BAU,94000,BAU,82370350,TIADA,YCC1104@moe.edu.my,Luar Bandar,SBK,63,12,110.1608667,1.435383333,Primary,Bau,P.192 Mas Gading,N.02 Tasik Biru
73,PPD BAU,SJKC,YCC1107,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA SINIAWAN,D/A PEJABAT PENDIDIKAN DAERAH BAU,94000,BAU,82699170,82699170,YCC1107@moe.edu.my,Luar Bandar,SBK,247,27,110.2216167,1.446366667,Primary,Bau,P.198 Puncak Borneo,N.18 Serembu
74,PPD BAU,SJKC,YCC1101,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA TAITON,D/A PEJABAT PENDIDIKAN DAERAH BAU,94000,BAU,82764080,82764080,YCC1101@moe.edu.my,Luar Bandar,SBK,188,16,110.1311,1.404316667,Primary,Bau,P.192 Mas Gading,N.02 Tasik Biru
75,PPD BAU,SJKC,YCC1103,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA TONDONG,PEKAN TONDONG JALAN TONDONG BATU KAWA,94000,BAU,TIADA,TIADA,YCC1103@moe.edu.my,Luar Bandar,SBK,119,12,110.158,1.454283333,Primary,Bau,P.192 Mas Gading,N.02 Tasik Biru
76,PPD BAU,SK,YBA1101,SEKOLAH KEBANGSAAN APAR,D/A PEJABAT PENDIDIKAN DAERAH BAU,94000,BAU,TIADA,TIADA,YBA1101@moe.edu.my,Luar Bandar,SK,184,15,110.1459833,1.484166667,Primary,Bau,P.192 Mas Gading,N.02 Tasik Biru
77,PPD BAU,SK,YBB1103,SEKOLAH KEBANGSAAN ATAS,D/A PEJABAT PENDIDIKAN DAERAH BAU,94000,BAU,TIADA,TIADA,YBB1103@moe.edu.my,Luar Bandar,SK,148,18,110.1709833,1.49305,Primary,Bau,P.192 Mas Gading,N.02 Tasik Biru
78,PPD BAU,SK,YBB1115,SEKOLAH KEBANGSAAN BAU,D/A PEJABAT PENDIDIKAN DAERAH BAU,94000,BAU,82763243,TIADA,YBB1115@moe.edu.my,Luar Bandar,SK,323,35,110.1690167,1.408166667,Primary,Bau,P.192 Mas Gading,N.02 Tasik Biru
79,PPD BAU,SK,YBB1101,SEKOLAH KEBANGSAAN BUSO,D/A PEJABAT PENDIDIKAN DAERAH BAU,94000,BAU,TIADA,TIADA,YBB1101@moe.edu.my,Luar Bandar,SK,44,14,110.1812833,1.4498,Primary,Bau,P.192 Mas Gading,N.02 Tasik Biru
